time,mass,momentum,energy,heat flux,4th moment,5th moment,6th moment,7th moment,moment 0 continuity error,moment 1 continuity error,moment 2 continuity error,moment 3 continuity error,moment 4 continuity error,moment 5 continuity error,moment 6 continuity error,moment 7 continuity error,moment 0 norm error,moment 1 norm error,moment 2 norm error,moment 3 norm error,moment 4 norm error,moment 5 norm error,moment 6 norm error,moment 7 norm error,representability error in v^0,representability error in v^1,representability error in v^2,representability error in v^3,representability error in v^4,representability error in v^5,representability error in v^6,representability error in v^7,entropy,L1 norm,L2 norm,L3 norm,Linfinity norm,minimum,rank
0.0,0.9999999999999999,-2.862293735361732e-17,0.5500457489639292,-0.0030110999289538333,2.6744234764241694,-0.012295767254132669,9.653885770526925,-0.062211829988286865,0.014778144076744052,0.3340535371146476,0.016442880903604313,1.0202451945244098,0.11030961184713456,8.4529054764602,1.638152678722348,134.61601376869146,2.1100177640090956,1.4920078693549077,1.8273289860682809,2.889260815210144,5.4053120357586835,11.466398384486643,26.891087841574763,68.55909076746703,4.920500528399973e-16,4.543153268349353e-16,5.00325498977987e-16,1.0594382651734108e-15,1.6936490952992583e-15,4.248185593538625e-15,1.0055443767930995e-14,2.7136682815781597e-14,3.2543996513329896,0.9999999999999999,0.2073711766547796,0.12732119936589653,0.06836052400256812,3.660057749687e-15,10
0.010000000000000005,0.9999999999999835,8.681748896177677e-16,0.5500457543619253,-0.003010948681083211,2.6746898641763592,-0.0122946618187912,9.655284377670087,-0.06220343426463228,0.01229093086482467,0.33345775975569925,0.008631041709630196,1.017262775671265,0.041095640120166275,8.418748239692745,0.468059753659168,133.92456537735364,2.0922731517009847,1.4794605336623163,1.811961701029151,2.864963004121811,5.359854993588261,11.36996943617463,26.664941912174882,67.98252951446895,4.746166588019923e-16,4.449666115024317e-16,5.022539358155883e-16,1.0580094338554387e-15,1.7234461367263207e-15,0.0017715086154965066,0.009537805937370934,0.2376045413487809,3.25439954100934,0.9999999999999835,0.2073711916639144,0.1273212140838775,0.06836062185171272,3.666165346765077e-15,10
0.020000000000000014,0.9999999999999714,1.6709181781260352e-15,0.5500457596220111,-0.003010380132426461,2.6749577312838375,-0.012290738171243843,9.656692726077864,-0.06217465217796289,0.011973147801623115,0.3336473402937579,0.008217843213302073,1.0180557935655186,0.038596928426981314,8.427226314777839,0.43517792235655395,134.09131000514154,2.091372780180356,1.4788238748544924,1.8111819564194427,2.8637301196418523,5.357548477927529,11.36507657758089,26.65346714164723,67.95327447507537,4.870731945018033e-16,4.473076084794033e-16,4.989481419806901e-16,1.06140398181587e-15,1.6825242711248155e-15,0.0021730285693973062,0.005926480467992999,0.2936458231735967,3.254399430551112,0.9999999999999714,0.20737120668651202,0.1273212288125043,0.06836104182356195,3.6716848934618566e-15,10
0.030000000000000023,0.9999999999999515,1.6815975695250174e-15,0.5500457647442056,-0.0030093943600985234,2.675226724462061,-0.012283997274089358,9.658108657035212,-0.062125493199881074,0.011655553387689524,0.3338364424328903,0.007808894835010413,1.0188451858362524,0.03613873730336526,8.43565712635144,0.402969298681529,134.25702711787582,2.090483998974063,1.4781954116365315,1.8104122493163868,2.8625131058534192,5.355271653611887,11.360246703841515,26.642140083696322,67.92439603033712,4.757630266866416e-16,4.519838299820684e-16,5.114978418039905e-16,1.0619812621314792e-15,1.7516941981308005e-15,0.0016716571162683842,0.00787974291723225,0.22969059934308875,3.2543993199580346,0.9999999999999515,0.20737122172257344,0.1273212435517754,0.0683613434929475,3.676561358895413e-15,10
0.04000000000000003,0.9999999999999347,2.0914802008331623e-15,0.5500457697286598,-0.0030079915416917576,2.675496492092893,-0.012274441127842265,9.65953002332499,-0.06205597635411942,0.011338422985458117,0.33402474732630216,0.007404979433769117,1.0196291915023266,0.03372782249846674,8.444018701939981,0.37154657929987356,134.42123841732928,2.089608359901772,1.4775762413106428,1.8096539236352367,2.861314087673103,5.3530284959962655,11.355488247957794,26.630980515463236,67.89594460226827,4.839221220537356e-16,4.633452495101861e-16,5.005277236342852e-16,1.0663664144577797e-15,1.6662843151916594e-15,0.001737584482365086,0.008279299503901608,0.24195882819021558,3.2543992092300162,0.9999999999999347,0.2073712367720925,0.12732125830168317,0.06836142721347914,3.680795241903411e-15,10
0.05000000000000004,0.9999999999999186,2.5593134382606575e-15,0.5500457745756412,-0.003006171955417517,2.6757666847372823,-0.012262072771494959,9.660954692812009,-0.0619661302187966,0.011022030607546841,0.3342119386158007,0.0070068710198111965,1.0204060735016485,0.03137083163444212,8.452289468113394,0.3410202165564149,134.5834761260104,2.0887474071963466,1.4769674558143553,1.808908316720881,2.860135179628837,5.350822961000193,11.350809601702297,26.620008117399127,67.86797036637101,5.04752359433778e-16,4.545172954119811e-16,4.99799912594529e-16,1.0686144692760476e-15,1.7242828374285014e-15,0.0022286806561085484,0.00770079105534625,0.30950487697984314,3.2543990983670756,0.9999999999999186,0.20737125183504893,0.12732127306220928,0.06836193256801514,3.684297512495515e-15,10
0.060000000000000046,0.999999999999894,3.2353677029139938e-15,0.5500457792855257,-0.003003935980185015,2.6760369556434767,-0.01224689628219439,9.662380551991562,-0.06185599291916083,0.010706648614136217,0.3343977029524879,0.0066153332704791965,1.0211741228896676,0.029074286853188202,8.460448317745616,0.31149805817031084,134.7432847507675,2.0879026746730087,1.4763701397188143,1.8081767568962677,2.858978481983611,5.348658977855938,11.34621910023537,26.60924243718772,67.8405231596557,4.812098702319018e-16,4.506676119667427e-16,5.069383905354868e-16,1.051858710232484e-15,1.6715079292636557e-15,0.002623564616947169,0.002656577304603204,0.3523907866562626,3.254398987369334,0.999999999999894,0.20737126691141028,0.12732128783332555,0.06836206388070346,3.687095211077211e-15,10
0.07000000000000005,0.9999999999998731,3.4649475129377993e-15,0.550045783858823,-0.003001284095625256,2.6763069612501105,-0.012228916774053291,9.663805509496697,-0.061725612110633106,0.010392547412057097,0.33458173051005685,0.006231118065250765,1.0219316629611594,0.026844567778224082,8.468474675705092,0.28308499508915796,134.9002227969439,2.087075682881903,1.475785368215338,1.807460560996449,2.857846076836461,5.346540441814116,11.34172500663139,26.598702853456146,67.81365238812123,4.853296483019024e-16,4.527537353207053e-16,4.98240946852665e-16,1.0532395103541485e-15,1.837606567522421e-15,0.0015412702226717662,0.003814925196883989,0.19197490970265724,3.2543988762370715,0.9999999999998731,0.20737128200113628,0.12732130261500282,0.06836238715408519,3.6890987468575325e-15,10
0.08000000000000006,0.9999999999998512,3.874992774571817e-15,0.5500457882961463,-0.0029982168820525414,2.6765763616828413,-0.012208140396045045,9.665227499555842,-0.06157504495249987,0.010079995158272577,0.33476371549213446,0.005854964046123827,1.0226770532926313,0.02468789485637719,8.47634856291592,0.25588261890426045,135.05386443035871,2.0862679362578236,1.4752142050999708,1.806761031900175,2.856740024219569,5.344471206842044,11.337335496389628,26.588408539449716,67.78740693414355,4.832697345908107e-16,4.487001348219598e-16,5.011636564630351e-16,1.060587472992312e-15,1.718509807351569e-15,0.000900350413570889,0.005607026710082825,0.10011596521101906,3.2543987649706887,0.9999999999998512,0.20737129710417265,0.12732131740719435,0.06836272246805154,3.690331714100828e-15,10
0.09000000000000007,0.9999999999998345,4.451246229247863e-15,0.5500457925982348,-0.0029947350203707833,2.6768448212443112,-0.012184574329035766,9.666644485396553,-0.0614043580717674,0.009769257464611103,0.3349433566315608,0.005487595202515295,1.0234086936912905,0.022610313103712674,8.484050658459953,0.22998888971749032,135.20380107817604,2.0854809202679347,1.4746577007566182,1.8060794560597468,2.855662358192621,5.342455078316948,11.333058641934203,26.578378426681088,67.76183506379887,4.769592112993596e-16,4.531145472203639e-16,5.002165599109287e-16,1.0613167445912835e-15,1.7039040731544948e-15,0.0006081137389921368,0.006095538497250512,0.059907959008409895,3.254398653570747,0.9999999999998345,0.20737131222045607,0.12732133220984962,0.06836270533333272,3.6907481325657715e-15,10
